|,|__city,|__theater,|__zip,|__critic_rating,|__genre,|__state,|__starttime,|__date,|__moviename,|__other,|__mpaa_rating,|__numberofkids,|__theater_chain,|__video_format,|__distanceconstraints,|__actor,|__price,|__actress
18L,birmingham,carmike summit,,,,al,1:30,today,zootopia,,,,,,,,,
19L,birmingham,carmike summit 16,,,,al,4:00,today,zootopia,,,,,,,,,
20L,san francisco,century centre 9,,,,,night,tomorrow,How to be single,,,,,,,,,
21L,san francisco,Redwood City 20,,,,,night,tomorrow,How to be single,,,,,,,,,
22L,san francisco,century centre 9,,,,,11:05am,tomorrow,How to be single,,,,,,,,,
23L,san francisco,Redwood City 20,,,,,11:05am,tomorrow,How to be single,,,,,,,,,
24L,san francisco,century centre 9,,,,,1:45pm,tomorrow,How to be single,,,,,,,,,
25L,seattle,many,,,,,latest showing,tonight,london has fallen,search theater,,,,,,,,
26L,seattle,regal meridian 16,,,,,latest showing,tonight,london has fallen,search theater,,,,,,,,
27L,seattle,many,,,,,latest showing,tonight,whiskey tango foxtrot,search theater,,,,,,,,
28L,seattle,regal meridian 16,,,,,latest showing,tonight,whiskey tango foxtrot,search theater,,,,,,,,
29L,seattle,many,,,,,latest showing,tonight,zootopia,search theater,,,,,,,,
30L,seattle,amc pacific place 11,,,,,9:00 PM,tomorrow,deadpool,,,,,,,,,
31L,birmingham,carmike summit 16,,,,al,around 6pm,today,deadpool,,,,,,,,,
32L,birmingham,carmike summit 16,,,,al,7:20,today,deadpool,,,,,,,,,
33L,seattle,regal meridian 16,,,,,9:10 PM,tomorrow,zootopia,,,,,,,,,
34L,seattle,regal meridian 16,,,,,8:45 PM,tomorrow,hail caesar,,,,,,,,,
35L,seattle,regal meridian 16,,,,,8:45,tomorrow,hail caesar,,,,,,,,,
36L,portland,regal lloyd center 10,,,,oregon,10:00 PM,friday,star wars,,,,,,,,,
37L,portland,regal lloyd center 10,,,,oregon,9:50 PM,friday,star wars,,,,,,,,,
38L,birmingham,carmike 16,,,kid,al,around 3 pm,tomorrow,zootopia,,,,,3d,,,,
39L,birmingham,carmike 16,,,kid,al,around 3 pm,tomorrow,zootopia,,,,,standard,,,,
40L,birmingham,carmike 16,,,kid,al,12pm,tomorrow,zootopia,,,,,3d,,,,
41L,birmingham,carmike 16,,,kid,al,12pm,tomorrow,zootopia,,,,,standard,,,,
42L,birmingham,carmike 16,,,kid,al,around 3 pm,tomorrow, kung fu panda 3,,,,,3d,,,,
43L,seattle,amc pacific place 11 theater,,,,,9:30 PM,tomorrow,room,,,,,,,,,
44L,,river east 21,,,,,night,saturday,zootopia,cannot book,,,amc,2d,,,,
45L,,river east 21,,,,,night,saturday,zootopia,cannot book,,,amc,3d,,,,
46L,,river east 21,,,,,night,tomorrow,zootopia,cannot book,,,amc,2d,,,,
47L,,river east 21,,,,,night,tomorrow,zootopia,cannot book,,,amc,3d,,,,
48L,,river east 21,,,,,6pm,saturday,zootopia,cannot book,,,amc,2d,,,,
49L,seattle,regal meridian 16,,,,,9:30 PM,tomorrow,the witch,,,,,,,,,
50L,royal oak,emagine theater,48071,,,mi,10:05am#12:30pm#2:55pm#5:30pm#8:00pm#10:40pm,11-Mar,deadpool,,,,,,closest,,,
51L,Royal Oak,emagine theater,48071,,,mi,10:05am#12:30pm#2:55pm#5:30pm#8:00pm#10:40pm,11-Mar,deadpool,,,,,,closest,,,
52L,madison heights,emagine theater,48071,,,mi,10:05am#12:30pm#2:55pm#5:30pm#8:00pm#10:40pm,11-Mar,deadpool,,,,,,closest,,,
53L,royal oak,emagine,48071,,,mi,10:05am#12:30pm#2:55pm#5:30pm#8:00pm#10:40pm,11-Mar,deadpool,,,,,,closest,,,
54L,Royal Oak,emagine,48071,,,mi,10:05am#12:30pm#2:55pm#5:30pm#8:00pm#10:40pm,11-Mar,deadpool,,,,,,closest,,,
55L,detroit,,,,,,7pm,,independce day,servicing tickets,,,,,,,,
56L,des moines,any,,,,iowa,around 7pm,now,zootopia#kung fu panda 3,,rated pg,,,,,,,
57L,des moines,FLIX BREWHOUSE DES MOINES,,,,iowa,around 7pm,now,zootopia#kung fu panda 3,,rated pg,,,,,,,
58L,des moines,CARMIKE COBBLESTONE 9,,,,iowa,around 7pm,now,zootopia#kung fu panda 3,,rated pg,,,,,,,
59L,des moines,any,,,,iowa,around 7pm,tomorrow,zootopia#kung fu panda 3,,rated pg,,,,,,,
60L,des moines,FLIX BREWHOUSE DES MOINES,,,,iowa,around 7pm,tomorrow,zootopia#kung fu panda 3,,rated pg,,,,,,,
61L,johnstown,cinemas,,,,pennsylvania,earliest showing,tomorrow afternoon,zootopia,,,,,standard/2D version,,,,
62L,johnstown,cinemas,,,,pennsylvania,earliest showing,tomorrow afternoon,zootopia,,,,,3d,,,,
63L,johnstown,cinemas,,,,pennsylvania,earliest showing,tomorrow afternoon,zootopia,,,,,standard,,,,
64L,johnstown,cinemas,,,,pennsylvania,12:45pm,tomorrow afternoon,zootopia,,,,,standard/2D version,,,,
65L,johnstown,cinemas,,,,pennsylvania,12:45pm,tomorrow afternoon,zootopia,,,,,3d,,,,
66L,seattle,regal meridian 16,,,,,9:30 PM,tomorrow,the witch,,,,,,,,,
67L,,,,84 percent,action,,,,Deadpool,rotten tomatoes,,,,,,ryan reynolds,,
68L,,,,84 percent,violence,,,,Deadpool,rotten tomatoes,,,,,,ryan reynolds,,
69L,,,,93 of audience,action,,,,Deadpool,rotten tomatoes,,,,,,ryan reynolds,,
70L,,,,93 of audience,violence,,,,Deadpool,rotten tomatoes,,,,,,ryan reynolds,,
71L,,,,84 percent,action,,,,London has fallen,rotten tomatoes,,,,,,ryan reynolds,,
72L,visalia,regal visalia stadium 10,,,,california,12:35pm,12-Mar,london has fallen,,,,,,,,,
73L,visalia,regal visalia stadium 10,,,,california, 4:05pm,12-Mar,london has fallen,,,,,,,,,
74L,visalia,regal visalia stadium 10,,,,california, 7:05pm,12-Mar,london has fallen,,,,,,,,,
75L,visalia,regal visalia stadium 10,,,,california, 9:55pm,12-Mar,london has fallen,,,,,,,,,
76L,visalia,regal visalia stadium 10,,,,california,7:05 PM,12-Mar,london has fallen,,,,,,,,,
77L,,,,,,,,,,pub serves good burgers,,,,,near the space needle,,,
78L,seattle,amc pacific place 11,98101,,,wa,night,Friday,10 cloverfield lane,serves seafood,,,,,area,,,
79L,bellevue,amc pacific place 11,98101,,,wa,night,Friday,10 cloverfield lane,serves seafood,,,,,area,,,
80L,seattle,bellevue lincoln square cinemas,98101,,,wa,night,Friday,10 cloverfield lane,serves seafood,,,,,area,,,
81L,bellevue,bellevue lincoln square cinemas,98101,,,wa,night,Friday,10 cloverfield lane,serves seafood,,,,,area,,,
82L,seattle,amc pacific place 11,98004,,,wa,night,Friday,10 cloverfield lane,serves seafood,,,,,area,,,
83L,boston,amc loews boston common 19,,,,ma,8pm,saturday,lolo,,,,,,nearest,,,
84L,boston,amc loews boston common 19,,,,ma,8:20,saturday,lolo,,,,,,nearest,,,
85L,boston,amc loews boston common 19,,,,ma,8pm,saturday,deadpool,,,,,,nearest,,,
86L,boston,amc loews boston common 19,,,,ma,8:20,saturday,deadpool,,,,,,nearest,,,
87L,bellevue,bellevue lincoln square cinemas,98004,,superhero,washington,8:15pm,tonight,deadpool,,,,,,near 98119,ryan reynolds,,
88L,bellevue,amc pacific place 11,98004,,superhero,washington,8:15pm,tonight,deadpool,,,,,,near 98119,ryan reynolds,,
89L,bellevue,bellevue lincoln square cinemas,98004,,superhero,wa,8:15pm,tonight,deadpool,,,,,,near 98119,ryan reynolds,,
90L,bellevue,amc pacific place 11,98004,,superhero,wa,8:15pm,tonight,deadpool,,,,,,near 98119,ryan reynolds,,
91L,seattle,amc pacific place 11,98101,best,romance,washington,between 9 and 10,tonight,how to be single,date,,,,,,,,
92L,seattle,amc pacific place 11,98101,best,romance,wa,between 9 and 10,tonight,how to be single,date,,,,,,,,
93L,seattle,amc pacific place 11,98101,best,romance,washington,7:20,tonight,how to be single,date,,,,,,,,
94L,seattle,amc pacific place 11,98101,best,romance,wa,7:20,tonight,how to be single,date,,,,,,,,
95L,seattle,amc pacific place 11,98101,best,romance,washington,10:20,tonight,how to be single,date,,,,,,,,
96L,carbondale,amc showplace carbondale 8,,,thriller,illinois,night,tuesday,the witch#the other side of the door#the boy,scary,,,,,,,,
97L,carbondale,amc showplace carbondale 8,,,thriller,illinois,after 7pm,tuesday,the witch#the other side of the door#the boy,scary,,,,,,,,
98L,carbondale,amc showplace carbondale 8,,,thriller,illinois,4:40 PM,tuesday,the witch#the other side of the door#the boy,scary,,,,,,,,
99L,carbondale,amc showplace carbondale 8,,,thriller,illinois,before dinner,tuesday,the witch#the other side of the door#the boy,scary,,,,,,,,
100L,carbondale,amc showplace carbondale 8,,,thriller,illinois,night,tuesday,the other side of the door,scary,,,,,,,,
101L,seattle,amc lowes oak tree,,,,,7:10 PM,tomorrow,triple 9,,,,,,,,,
102L,seattle,amc lowes oak tree 6,,,,,7:10 PM,tomorrow,triple 9,,,,,,,,,
103L,seattle,regal meridian 16,,,,,9:10 PM,tomorrow,zootopia,,,,,,,,,
104L,,royal oak emagine theater,,,,,betwenn 8-10 pm,,deadpool,,,,,,,,,
105L,birmingham,carmike summit 16,,,,al,4:00 PM,today,deadpool,,,,,,closest time,,,
106L,birmingham,carmike summit 16,,,,al,4:20,today,deadpool,,,,,,closest time,,,
107L,birmingham,carmike summit 16,,,,al,4:20pm,today,deadpool,,,,,,closest time,,,
108L,los angeles,Regal LA LIVE Stadium 14,,,,,from noon to 4pm,tonight,The Witch,,,,,,,,,
109L,los angeles,regal la live stadium,,,,,from noon to 4pm,tonight,The Witch,,,,,,,,,
110L,los angeles,Regal LA LIVE Stadium 14,,,,,8:30pm,tonight,The Witch,,,,,,,,,
111L,los angeles,regal la live stadium,,,,,8:30pm,tonight,The Witch,,,,,,,,,
112L,los angeles,Regal LA LIVE Stadium 14,,,,,11:00pm,tonight,The Witch,,,,,,,,,
113L,seattle,regal meridian 16,,,,,8:45 PM,tomorrow,the big short,,,,,,,,,
114L,,Big Picture,,,,,,,,restaurant,,,,,space needle,,,
115L,,Big Picture,,,,,,,,beer,,,,,space needle,,,
116L,,Cinerama,,,,,,,,restaurant,,,,,space needle,,,
117L,,Cinerama,,,,,,,,beer,,,,,space needle,,,
118L,,Central Cinema,,,,,,,,restaurant,,,,,space needle,,,
119L,seattle,regal meridian 16,,,,,8:45 PM,tomorrow,the big short,,,,,,,,,
120L,detroit,,,,action,,around 7pm,tonight,gods of egypt,,pg13,,,,,,,
121L,detroit,,,,action,,around 7pm,tonight,gods of egypt,,pg-13,,,,,,,
122L,detroit,,,,action,,around 7pm,tonight,star wars,,pg13,,,,,,,
123L,detroit,,,,action,,around 7pm,tonight,star wars,,pg-13,,,,,,,
124L,seattle,regal meridian 16,,,,,9:10 PM,tomorrow,zootopia,,,,,,,,,
125L,stony brook,,,,,ny, Matinee,saturday, Young Messiah,,,1,amc loews stony brook 17,,,,,
126L,stony brook,,,,,ny,11:05am,saturday, Young Messiah,,,1,amc loews stony brook 17,,,,,
127L,stony brook,,,,,ny,1:45pm,saturday, Young Messiah,,,1,amc loews stony brook 17,,,,,
128L,stony brook,,,,,ny, Matinee,saturday,The Young Messiah,,,1,amc loews stony brook 17,,,,,
129L,stony brook,,,,,ny,11:05am,saturday,The Young Messiah,,,1,amc loews stony brook 17,,,,,
130L,,century rowland plaza,94952,,,,4pm to 7pm,next friday,eddie the eagle,,,,,,,,,
131L,,the century rowland plaza,94952,,,,4pm to 7pm,next friday,eddie the eagle,,,,,,,,,
132L,,century rowland plaza,94952,,,,4:20pm,next friday,eddie the eagle,,,,,,,,,
133L,,the century rowland plaza,94952,,,,4:20pm,next friday,eddie the eagle,,,,,,,,,
134L,,century rowland plaza,94952,,,,6:55pm,next friday,eddie the eagle,,,,,,,,,
135L,,regency commerce 14,,,,,11:50am,tomorrow,risen,,,,,,,,,
136L,,regency commerce 14,,,,,2:30pm,tomorrow,risen,,,,,,,,,
137L,,regency commerce 14,,,,,5:10,tomorrow,risen,,,,,,,,,
138L,,regency commerce 14,,,,,7:50,tomorrow,risen,,,,,,,,,
139L,,regency commerce 14,,,,,10:25,tomorrow,risen,,,,,,,,,
140L,seattle,regal meridian 16,,,,,9:25 PM,tomorrow,zoolander 2,,,,,,,,,
141L,seattle,amc pacific place 11 theater,,,,,9:00 PM,tomorrow,deadpool,,,,,,,,,
142L,seattle,many,,,,,around 2pm,saturday,zootopia,,,,,,east side,,,
143L,seattle,bellevue lincoln square cinemas,,,,,around 2pm,saturday,zootopia,,,,,,east side,,,
144L,seattle,bellevue lincoln square,,,,,around 2pm,saturday,zootopia,,,,,,east side,,,
145L,seattle,many,,,,,2:35 PM,saturday,zootopia,,,,,,east side,,,
146L,seattle,bellevue lincoln square cinemas,,,,,2:35 PM,saturday,zootopia,,,,,,east side,,,
147L,seattle,regal meridian 16,,,,,9:30 PM,tomorrow,the witch,,,,,,,,,
148L,tampa,amc west shore 14 210 Westshore Plaza,,,,fl,afternoon,saturday,zootopia,,,,,3d,,,,
149L,tampa,amc west shore 14 210 Westshore Plaza,,,,fl,afternoon,saturday,zootopia,,,,,standard,,,,
150L,tampa,amc west shore 14 210 Westshore Plaza,,,,fl,10:00am,saturday,zootopia,,,,,3d,,,,
151L,tampa,amc west shore 14 210 Westshore Plaza,,,,fl,10:00am,saturday,zootopia,,,,,standard,,,,
152L,tampa,amc west shore 14 210 Westshore Plaza,,,,fl,12:45pm,saturday,zootopia,,,,,3d,,,,
153L,seattle,bellevue lincoln square cinemas,98004,good place,,wa,10:00am,weekend,zootopia,restaurant,,,,,downtown,,,
154L,bellevue,bellevue lincoln square cinemas,98004,good place,,wa,10:00am,weekend,zootopia,restaurant,,,,,downtown,,,
155L,seattle,pacific science center imax theaters,98004,good place,,wa,10:00am,weekend,zootopia,restaurant,,,,,downtown,,,
156L,bellevue,pacific science center imax theaters,98004,good place,,wa,10:00am,weekend,zootopia,restaurant,,,,,downtown,,,
157L,seattle,bellevue lincoln square cinemas,98109,good place,,wa,10:00am,weekend,zootopia,restaurant,,,,,downtown,,,
158L,birmingham,carmike summit 16,35243,most scene,action,al,10:00am,saturday,zootopia,,pg,,,,,,,
159L,hoover,carmike summit 16,35243,most scene,action,al,10:00am,saturday,zootopia,,pg,,,,,,,
160L,birmingham,carmike patton creek,35243,most scene,action,al,10:00am,saturday,zootopia,,pg,,,,,,,
161L,hoover,carmike patton creek,35243,most scene,action,al,10:00am,saturday,zootopia,,pg,,,,,,,
162L,birmingham,carmike summit 16,35244,most scene,action,al,10:00am,saturday,zootopia,,pg,,,,,,,
163L,seattle,regal meridian sundance cinemas,,,drama,,,,eddie the eagle,,,,,,,,,
164L,seattle,regal meridian sundance cinemas,,,drama,,,,the big short,,,,,,,,,
165L,seattle,regal thornton place,,,drama,,,,eddie the eagle,,,,,,,,,
166L,seattle,regal thornton place,,,drama,,,,the big short,,,,,,,,,
167L,,,,,,,,,Avengers,,,,,,,,,
168L,,,,,,,,,Finding Dory,,,,,,,,,
169L,Sacramento,REGAL NATOMAS MARKETPLACE STADIUM 16 & RPX,,,,ca,morning,tomorrow,zoology,,,,,3d,close to 95833,,,
170L,Sacramento,Regal Natomas Marketplace,,,,ca,morning,tomorrow,zoology,,,,,3d,close to 95833,,,
171L,Sacramento,REGAL NATOMAS MARKETPLACE STADIUM 16 & RPX,,,,ca,morning,tomorrow,zoology,,,,,standard,close to 95833,,,
172L,Sacramento,Regal Natomas Marketplace,,,,ca,morning,tomorrow,zoology,,,,,standard,close to 95833,,,
173L,Sacramento,REGAL NATOMAS MARKETPLACE STADIUM 16 & RPX,,,,ca,morning,tomorrow,zoology,,,,,IMAX,close to 95833,,,
174L,seattle,amc pacific place 11,,,,,10pm,tonight,deadpool,,,,,,,,,
175L,seattle,amc pacific place 11,,,,,10pm,tomorrow,deadpool,,,,,,,,,
176L,seattle,amc pacific place 11,,,,,10:00 PM,tonight,deadpool,,,,,,,,,
177L,seattle,amc pacific place 11,,,,,10:00 PM,tomorrow,deadpool,,,,,,,,,
178L,,,,,,,,march 24th,batman,mexican restaurant,,,,,,,,
179L,,,,,,,,openingnight,batman,mexican restaurant,,,,,,,,
180L,,,,,,,, a different day,batman,mexican restaurant,,,,,,,,
181L,,,,,,,,march 24th,batman vs superman,mexican restaurant,,,,,,,,
182L,,,,,,,,openingnight,batman vs superman,mexican restaurant,,,,,,,,
183L,seattle,amc lowes oak tree 6,,,,,4:50 PM,tomorrow,race,,,,,,,,,
184L,hamilton,amc hamilton 24,,,,nj,7pm,tomorrow,deadpool,,,,amc hamilton 24,,,,,
185L,hamilton,amc hamilton 24,,,,nj,7:05,tomorrow,deadpool,,,,amc hamilton 24,,,,,
186L,seattle,amc lowes oak tree 6,,,,,7:15 PM,tomorrow,hail caesar,,,,,,,,,
187L,birmingham,carmike summit 16,,,,al,around 4pm,today,zootopia,,,,,3d,,,,
188L,birmingham,carmike summit 16,,,,al,around 4pm,today,zootopia,,,,,standard,,,,
189L,birmingham,carmike summit 16,,,,al,4:00 PM,today,zootopia,,,,,3d,,,,
190L,birmingham,carmike summit 16,,,,al,4:00 PM,today,zootopia,,,,,standard,,,,
191L,seattle,regal meridan 16,,,,wa,night,tomorrow,zootopia,,,no,,regular,,,,
192L,seattle,bellevue lincoln square cinemas,,,,wa,night,tomorrow,zootopia,,,no,,regular,,,,
193L,seattle,pacific science center imax theaters,,,,wa,night,tomorrow,zootopia,,,no,,regular,,,,
194L,seattle,regal meridan 16,,,,wa,night,tomorrow,zootopia,,,no,,3d,,,,
195L,seattle,bellevue lincoln square cinemas,,,,wa,night,tomorrow,zootopia,,,no,,3d,,,,
196L,seattle,elmwood palace 20,70070,number 1,funny,,5pm,tomorrow,zootopia,,,,amc,,,,,
197L,seattle,elmwood palace 20,70070,number 1,funny,,5:00 PM,tomorrow,zootopia,,,,amc,,,,,
198L,seattle,elmwood palace 20,70070,number 1,comedy,,5pm,tomorrow,zootopia,,,,amc,,,,,
199L,seattle,elmwood palace 20,70070,number 1,comedy,,5:00 PM,tomorrow,zootopia,,,,amc,,,,,
200L,nashville,regal hollywood stadium 27,,,,tn,around 8 pm,tomorrow evening,revenant,,,,,,,,,
201L,nashville,regal hollywood stadium 27,,,,tn,7:50pm,tomorrow evening,revenant,,,,,,,,,
202L,Seattle,,,,,,7:00 PM,tomorrow,,best restaurant,,,amc pacific place 11,,,,,
203L,seattle,,,,,,7:00 PM,tomorrow,,best restaurant,,,amc pacific place 11,,,,,
204L,st louis,chase park plaza cinemas,,4.5/5,kids,,afternoon,thursday,zootopia,,pg,2,,,,,,
205L,st louis,chase park plaza cinemas,,4.5/5,kids,,11:00am,thursday,zootopia,,pg,2,,,,,,
206L,st louis,chase park plaza cinemas,,4.5/5,kids,,1:30pm,thursday,zootopia,,pg,2,,,,,,
207L,st louis,chase park plaza cinemas,,4.5/5,kids,,4pm,thursday,zootopia,,pg,2,,,,,,
208L,st louis,chase park plaza cinemas,,4.5/5,kids,,130pm,thursday,zootopia,,pg,2,,,,,,
209L,whittier village stadium cinemas,,90601,top rated,action,,closest to noon,next saturday,london has fallen,,,,,,closest,,,
210L,whittier village stadium cinemas,,90601,top rated,action,,closest to noon,March 12th,london has fallen,,,,,,closest,,,
211L,whittier village stadium cinemas,,90601,top rated,action,,1:30pm,next saturday,london has fallen,,,,,,closest,,,
212L,whittier village stadium cinemas,,90601,top rated,action,,1:30pm,March 12th,london has fallen,,,,,,closest,,,
213L,seattle,regal meridian 16,,,,,9:25 PM,tomorrow,zoolander 2,,,,,,,,,
214L,seattle,regal lloyd center century eastport 16,,,,oregon,late showing,tonight,star wars the force awakens,japanese restaurant,,,,,,,,
215L,southeast portland,regal lloyd center century eastport 16,,,,oregon,late showing,tonight,star wars the force awakens,japanese restaurant,,,,,,,,
216L,portland,regal lloyd center century eastport 16,,,,oregon,late showing,tonight,star wars the force awakens,japanese restaurant,,,,,,,,
217L,seattle,regal movies on tv stadium 16,,,,oregon,late showing,tonight,star wars the force awakens,japanese restaurant,,,,,,,,
218L,southeast portland,regal movies on tv stadium 16,,,,oregon,late showing,tonight,star wars the force awakens,japanese restaurant,,,,,,,,
219L,seattle,regal meridian 16,98101,,,wa,4:10&&7:00&&9:50pm,tonight,zootopia,,,,,2d,,,,
220L,bellevue,regal meridian 16,98101,,,wa,4:10&&7:00&&9:50pm,tonight,zootopia,,,,,2d,,,,
221L,seattle,bellevue lincoln square cinemas,98101,,,wa,4:10&&7:00&&9:50pm,tonight,zootopia,,,,,2d,,,,
222L,bellevue,bellevue lincoln square cinemas,98101,,,wa,4:10&&7:00&&9:50pm,tonight,zootopia,,,,,2d,,,,
223L,seattle,regal meridian 16,98004,,,wa,4:10&&7:00&&9:50pm,tonight,zootopia,,,,,2d,,,,
224L,seattle,amc pacific place 11,,,,,10pm,tonight,deadpool,,,,,,,,,
225L,seattle,amc pacific place 11,,,,,10pm,tomorrow,deadpool,,,,,,,,,
226L,seattle,amc pacific place 11,,,,,10:00 PM,tonight,deadpool,,,,,,,,,
227L,seattle,amc pacific place 11,,,,,10:00 PM,tomorrow,deadpool,,,,,,,,,
228L,,,,,,,,,,pub,,,,,near space needle,,,
229L,birmingham,carmike summit 16,,,,al,2pm,saturday,deadpool,,,,,,,,,
230L,birmingham,carmike summit 16,,,,al,2:20 PM,saturday,deadpool,,,,,,,,,
231L,seattle,bellevue lincoln square cinemas,98004,good,,wa,10:00am,last weekend,zootopia,restaurant,best,,,,downtown,,,
232L,bellevue,bellevue lincoln square cinemas,98004,good,,wa,10:00am,last weekend,zootopia,restaurant,best,,,,downtown,,,
233L,seattle,pacific science center imax theaters,98004,good,,wa,10:00am,last weekend,zootopia,restaurant,best,,,,downtown,,,
234L,bellevue,pacific science center imax theaters,98004,good,,wa,10:00am,last weekend,zootopia,restaurant,best,,,,downtown,,,
235L,seattle,bellevue lincoln square cinemas,98109,good,,wa,10:00am,last weekend,zootopia,restaurant,best,,,,downtown,,,
236L,miami,Regal South Beach,,,,florida,around 9pm,tonight,whiskey tango foxtrot,,,,,,south beach,,,
237L,miami,Cinepolis USA,,,,florida,around 9pm,tonight,whiskey tango foxtrot,,,,,,south beach,,,
238L,miami,Cobb Dolphin Cinemas,,,,florida,around 9pm,tonight,whiskey tango foxtrot,,,,,,south beach,,,
239L,miami,cobb dolphin cinemas,,,,florida,around 9pm,tonight,whiskey tango foxtrot,,,,,,south beach,,,
240L,miami,Regal South Beach,,,,florida,9pm,tonight,whiskey tango foxtrot,,,,,,south beach,,,
241L,seattle,amc southcenter 16,,,action,,9:30 PM,this weekend,london has fallen,number 1,,,amc,,,,,
242L,seattle,amc southcenter 16,,,action,,9:30 PM,this weekend,london has fallen,number 1,,,regency,,,,,
243L,seattle,amc southcenter 16,,,action,,9:30 PM,this week,london has fallen,number 1,,,amc,,,,,
244L,seattle,amc southcenter 16,,,action,,9:30 PM,this week,london has fallen,number 1,,,regency,,,,,
245L,seattle,amc southcenter 16,,,action,,9:30 PM,wednesday,london has fallen,number 1,,,amc,,,,,
246L,chicago,,,,scary,il,,,the other side of the door,,,,,,,,,
247L,chicago,,,,scary,il,,,the witch,,,,,,,,,
248L,nyc,ua kaufman astoria stadium 14,10035,,horror,,7:00pm,today,TheWitch,,,,,,,,,
249L,nyc,ua kaufman astoria stadium 14,10035,,horror,,8:40pm,today,TheWitch,,,,,,,,,
250L,nyc,ua kaufman astoria stadium 14,10035,,horror,,7:00pm,today,The Other Side of The Door,,,,,,,,,
251L,nyc,ua kaufman astoria stadium 14,10035,,horror,,8:40pm,today,The Other Side of The Door,,,,,,,,,
252L,nyc,ua kaufman astoria stadium 14,10035,,horror,,7:00pm,today,the other side of the door,,,,,,,,,
253L,sacramento,regal theater,,,,,around 7 pm,tomorrow,gods of egypt,,,,,standard,,,,
254L,sacramento,the Holiday 6,,,,,around 7 pm,tomorrow,gods of egypt,,,,,standard,,,,
255L,sacramento, the Stadium 5,,,,,around 7 pm,tomorrow,gods of egypt,,,,,standard,,,,
256L,sacramento,the Natomas Marketplace Stadium,,,,,around 7 pm,tomorrow,gods of egypt,,,,,standard,,,,
257L,sacramento,Natomas Marketplace Stadium,,,,,around 7 pm,tomorrow,gods of egypt,,,,,standard,,,,
258L,johnstown,richland cinemas,,good,comedy,pa,latest showing,now,deadpool,,,,amc loews waterfront 22,,,,,
259L,pittsburgh,richland cinemas,,good,comedy,pa,latest showing,now,deadpool,,,,amc loews waterfront 22,,,,,
260L,johnstown,this theater,,good,comedy,pa,latest showing,now,deadpool,,,,amc loews waterfront 22,,,,,
261L,pittsburgh,this theater,,good,comedy,pa,latest showing,now,deadpool,,,,amc loews waterfront 22,,,,,
262L,johnstown,amc loews waterfront 22,,good,comedy,pa,latest showing,now,deadpool,,,,amc loews waterfront 22,,,,,
263L,atlanta,amc phipps plaza 14,30326,,horror,ga,8pm,03\/15\/2016,the witch,switch cities,,,,,near,,,
264L,south barrington,amc phipps plaza 14,30326,,horror,ga,8pm,03\/15\/2016,the witch,switch cities,,,,,near,,,
265L,atlanta,AMC SOUTH BARRINGTON 30,30326,,horror,ga,8pm,03\/15\/2016,the witch,switch cities,,,,,near,,,
266L,south barrington,AMC SOUTH BARRINGTON 30,30326,,horror,ga,8pm,03\/15\/2016,the witch,switch cities,,,,,near,,,
267L,atlanta,amc phipps plaza 14,30326,,horror,ga,8pm,03\/15\/2016,the witch,switch cities,,,,,south barrington,,,
268L,los angeles,regal la live stadium 14,90015,,,ca,11:45am,tomorrow,10 cloverfield lane,,,,,,nearest,,,
